pdf,page,country,hs_code,description
HS Code/6 digit/0207_2022e.pdf,3,,0711.51,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption: Mushrooms and truffles: Mushrooms of the genus Agaricus"
HS Code/6 digit/0207_2022e.pdf,3,,0711.59,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption: Mushrooms and truffles: Other"
HS Code/6 digit/0207_2022e.pdf,3,,0711.90,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption: Other vegetables; mixtures of vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,0712.20,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: Onions"
HS Code/6 digit/0207_2022e.pdf,3,,0712.31,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Mushrooms of the genus Agaricus"
HS Code/6 digit/0207_2022e.pdf,3,,0712.32,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Wood ears (Auricularia spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.33,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Jelly fungi (Tremella spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.34,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Shiitake (Lentinus edodes)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.39,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Other"
HS Code/6 digit/0207_2022e.pdf,3,,0712.90,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: Other vegetables; mixtures of vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,0713.10,"Dried leguminous vegetables, shelled, whether or not skinned or split: Peas (Pisum sativum)"
HS Code/6 digit/0207_2022e.pdf,3,,0713.20,"Dried leguminous vegetables, shelled, whether or not skinned or split: Chickpeas (garbanzos)"
HS Code/6 digit/0207_2022e.pdf,3,,0713.31,"Dried leguminous vegetables, shelled, whether or not skinned or split: Beans (Vigna spp., Phaseolus spp.): Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek"
HS Code/6 digit/0207_2022e.pdf,3,,0713.32,"Dried leguminous vegetables, shelled, whether or not skinned or split: Beans (Vigna spp., Phaseolus spp.): Small red (Adzuki) beans (Phaseolus or Vigna angularis)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.33,"Kidney beans, including white pea beans (Phaseolus vulgaris)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.34,Bambara beans (Vigna subterranea or Voandzeia subterranea)
HS Code/6 digit/0207_2022e.pdf,4,,0713.35,Cow peas (Vigna unguiculata)
HS Code/6 digit/0207_2022e.pdf,4,,0713.39,Other
HS Code/6 digit/0207_2022e.pdf,4,,0713.40,Lentils
HS Code/6 digit/0207_2022e.pdf,4,,0713.50,"Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina, Vicia faba var. minor)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.60,Pigeon peas (Cajanus cajan)
HS Code/6 digit/0207_2022e.pdf,4,,0713.90,Other
HS Code/6 digit/0207_2022e.pdf,4,,0714.10,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith: Manioc (cassava)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.20,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith: Sweet potatoes"
HS Code/6 digit/0207_2022e.pdf,4,,0714.30,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith: Yams (Dioscorea spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.40,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith: Taro (Colocasia spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.50,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith: Yautia (Xanthosoma spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.90,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith: Other"
HS Code/6 digit/0208_2022e.pdf,1,,0801.11,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled. - Coconuts: -- Desiccated"
HS Code/6 digit/0208_2022e.pdf,1,,0801.12,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled. - Coconuts: -- In the inner shell (endocarp)"
HS Code/6 digit/0208_2022e.pdf,1,,0801.19,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled. - Coconuts: -- Other"
HS Code/6 digit/0208_2022e.pdf,1,,0801.21,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled. - Brazil nuts: -- In shell"
HS Code/6 digit/0208_2022e.pdf,1,,0801.22,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled. - Brazil nuts: -- Shelled"
HS Code/6 digit/0208_2022e.pdf,1,,0801.31,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled. - Cashew nuts: -- In shell"
HS Code/6 digit/0208_2022e.pdf,1,,0801.32,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled. - Cashew nuts: -- Shelled"
HS Code/6 digit/0208_2022e.pdf,1,,0802.11,"Other nuts, fresh or dried, whether or not shelled or peeled. - Almonds: -- In shell"
HS Code/6 digit/0208_2022e.pdf,1,,0802.12,"Other nuts, fresh or dried, whether or not shelled or peeled. - Almonds: -- Shelled"
HS Code/6 digit/0208_2022e.pdf,1,,0802.21,"Other nuts, fresh or dried, whether or not shelled or peeled. - Hazelnuts or filberts (Corylus spp.): -- In shell"
HS Code/6 digit/0208_2022e.pdf,1,,0802.22,"Other nuts, fresh or dried, whether or not shelled or peeled. - Hazelnuts or filberts (Corylus spp.): -- Shelled"
HS Code/6 digit/0208_2022e.pdf,1,,0802.31,"Other nuts, fresh or dried, whether or not shelled or peeled. - Walnuts: -- In shell"
HS Code/6 digit/0208_2022e.pdf,1,,0802.32,"Other nuts, fresh or dried, whether or not shelled or peeled. - Walnuts: -- Shelled"
HS Code/6 digit/0208_2022e.pdf,2,,0802.41,Chestnuts (Castanea spp.): In shell
HS Code/6 digit/0208_2022e.pdf,2,,0802.42,Chestnuts (Castanea spp.): Shelled
HS Code/6 digit/0208_2022e.pdf,2,,0802.51,Pistachios: In shell
HS Code/6 digit/0208_2022e.pdf,2,,0802.52,Pistachios: Shelled
HS Code/6 digit/0208_2022e.pdf,2,,0802.61,Macadamia nuts: In shell
HS Code/6 digit/0208_2022e.pdf,2,,0802.62,Macadamia nuts: Shelled
HS Code/6 digit/0208_2022e.pdf,2,,0802.70,Kola nuts (Cola spp.)
HS Code/6 digit/0208_2022e.pdf,2,,0802.80,Areca nuts
HS Code/6 digit/0208_2022e.pdf,2,,0802.91,"Other: Pine nuts, in shell"
HS Code/6 digit/0208_2022e.pdf,2,,0802.92,"Other: Pine nuts, shelled"
HS Code/6 digit/0208_2022e.pdf,2,,0802.99,Other: Other
HS Code/6 digit/0208_2022e.pdf,2,,0803.10,"Bananas, including plantains, fresh or dried: Plantains"
HS Code/6 digit/0208_2022e.pdf,2,,0803.90,"Bananas, including plantains, fresh or dried: Other"
HS Code/6 digit/0208_2022e.pdf,2,,0804.10,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried: Dates"
HS Code/6 digit/0208_2022e.pdf,2,,0804.20,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried: Figs"
HS Code/6 digit/0208_2022e.pdf,2,,0804.30,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried: Pineapples"
HS Code/6 digit/0208_2022e.pdf,2,,0804.40,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried: Avocados"
HS Code/6 digit/0208_2022e.pdf,2,,0804.50,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried: Guavas, mangoes and mangosteens"
HS Code/6 digit/0208_2022e.pdf,2,,0805.10,"Citrus fruit, fresh or dried: Oranges"
HS Code/6 digit/0208_2022e.pdf,2,,0805.21,"Citrus fruit, fresh or dried: Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids: Mandarins (including tangerines and satsumas)"
HS Code/6 digit/0208_2022e.pdf,2,,0805.22,"Citrus fruit, fresh or dried: Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids: Clementines"
HS Code/6 digit/0208_2022e.pdf,2,,0805.29,"Citrus fruit, fresh or dried: Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids: Other"
HS Code/6 digit/0208_2022e.pdf,2,,0805.40,"Citrus fruit, fresh or dried: Grapefruit and pomelos"
HS Code/6 digit/0208_2022e.pdf,2,,0805.50,"Citrus fruit, fresh or dried: Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)"
HS Code/6 digit/0208_2022e.pdf,2,,0805.90,"Citrus fruit, fresh or dried: Other"
HS Code/6 digit/0208_2022e.pdf,3,,0806.10,"Grapes, fresh or dried. - Fresh"
HS Code/6 digit/0208_2022e.pdf,3,,0806.20,"Grapes, fresh or dried. - Dried"
HS Code/6 digit/0208_2022e.pdf,3,,0807.11,"Melons (including watermelons) and papaws (papayas), fresh. - Melons (including watermelons) : -- Watermelons"
HS Code/6 digit/0208_2022e.pdf,3,,0807.19,"Melons (including watermelons) and papaws (papayas), fresh. - Melons (including watermelons) : -- Other"
HS Code/6 digit/0208_2022e.pdf,3,,0807.20,"Melons (including watermelons) and papaws (papayas), fresh. - Papaws (papayas)"
HS Code/6 digit/0208_2022e.pdf,3,,0808.10,"Apples, pears and quinces, fresh. - Apples"
HS Code/6 digit/0208_2022e.pdf,3,,0808.30,"Apples, pears and quinces, fresh. - Pears"
HS Code/6 digit/0208_2022e.pdf,3,,0808.40,"Apples, pears and quinces, fresh. - Quinces"
HS Code/6 digit/0208_2022e.pdf,3,,0809.10,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh. - Apricots"
HS Code/6 digit/0208_2022e.pdf,3,,0809.21,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh. - Cherries : -- Sour cherries (Prunus cerasus)"
HS Code/6 digit/0208_2022e.pdf,3,,0809.29,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh. - Cherries : -- Other"
HS Code/6 digit/0208_2022e.pdf,3,,0809.30,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh. - Peaches, including nectarines"
HS Code/6 digit/0208_2022e.pdf,3,,0809.40,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh. - Plums and sloes"
HS Code/6 digit/0208_2022e.pdf,3,,0810.10,"Other fruit, fresh. - Strawberries"
HS Code/6 digit/0208_2022e.pdf,3,,0810.20,"Other fruit, fresh. - Raspberries, blackberries, mulberries and loganberries"
HS Code/6 digit/0208_2022e.pdf,3,,0810.30,"Other fruit, fresh. - Black, white or red currants and gooseberries"
HS Code/6 digit/0208_2022e.pdf,3,,0810.40,"Other fruit, fresh. - Cranberries, bilberries and other fruits of the genus Vaccinium"
HS Code/6 digit/0208_2022e.pdf,3,,0810.50,"Other fruit, fresh. - Kiwifruit"
HS Code/6 digit/0208_2022e.pdf,3,,0810.60,"Other fruit, fresh. - Durians"
HS Code/6 digit/0208_2022e.pdf,3,,0810.70,"Other fruit, fresh. - Persimmons"
HS Code/6 digit/0208_2022e.pdf,3,,0810.90,"Other fruit, fresh. - Other"
HS Code/6 digit/0208_2022e.pdf,3,,0811.10,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter. - Strawberries"
HS Code/6 digit/0208_2022e.pdf,3,,0811.20,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter. - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries"
HS Code/6 digit/0208_2022e.pdf,3,,0811.90,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter. - Other"
HS Code/6 digit/0208_2022e.pdf,4,,0812.10,"Fruit and nuts provisionally preserved, but unsuitable in that state for immediate consumption: Cherries"
HS Code/6 digit/0208_2022e.pdf,4,,0812.90,"Fruit and nuts provisionally preserved, but unsuitable in that state for immediate consumption: Other"
HS Code/6 digit/0208_2022e.pdf,4,,0813.10,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter: Apricots"
HS Code/6 digit/0208_2022e.pdf,4,,0813.20,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter: Prunes"
HS Code/6 digit/0208_2022e.pdf,4,,0813.30,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter: Apples"
HS Code/6 digit/0208_2022e.pdf,4,,0813.40,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter: Other fruit"
HS Code/6 digit/0208_2022e.pdf,4,,0813.50,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter: Mixtures of nuts or dried fruits of this Chapter"
HS Code/6 digit/0208_2022e.pdf,4,,0814.00,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions."
HS Code/6 digit/0209_2022e.pdf,1,,0901.11,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. - Coffee, not roasted: -- Not decaffeinated"
HS Code/6 digit/0209_2022e.pdf,1,,0901.12,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. - Coffee, not roasted: -- Decaffeinated"
HS Code/6 digit/0209_2022e.pdf,1,,0901.21,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. - Coffee roasted: -- Not decaffeinated"
HS Code/6 digit/0209_2022e.pdf,1,,0901.22,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. - Coffee roasted: -- Decaffeinated"
HS Code/6 digit/0209_2022e.pdf,1,,0901.90,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. - Other"
HS Code/6 digit/0209_2022e.pdf,1,,0902.10,"Tea, whether or not flavoured. - Green tea (not fermented) in immediate packings of a content not exceeding 3 kg"
HS Code/6 digit/0209_2022e.pdf,1,,0902.20,"Tea, whether or not flavoured. - Other green tea (not fermented)"
HS Code/6 digit/0209_2022e.pdf,1,,0902.30,"Tea, whether or not flavoured. - Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
HS Code/6 digit/0209_2022e.pdf,1,,0902.40,"Tea, whether or not flavoured. - Other black tea (fermented) and other partly fermented tea"
HS Code/6 digit/0209_2022e.pdf,1,,0903.00,Maté.
HS Code/6 digit/0209_2022e.pdf,1,,0904.11,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta. - Pepper: -- Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,1,,0904.12,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta. - Pepper: -- Crushed or ground
HS Code/6 digit/0209_2022e.pdf,1,,0904.21,"Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta. - Fruits of the genus Capsicum or of the genus Pimenta: -- Dried, neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,1,,0904.22,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta. - Fruits of the genus Capsicum or of the genus Pimenta: -- Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,,0905.10,Vanilla: Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,,0905.20,Vanilla: Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,,0906.11,Cinnamon and cinnamon-tree flowers: Neither crushed nor ground: Cinnamon (Cinnamomum zeylanicum Blume)
HS Code/6 digit/0209_2022e.pdf,2,,0906.19,Cinnamon and cinnamon-tree flowers: Neither crushed nor ground: Other
HS Code/6 digit/0209_2022e.pdf,2,,0906.20,Cinnamon and cinnamon-tree flowers: Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,,0907.10,"Cloves (whole fruit, cloves and stems): Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,,0907.20,"Cloves (whole fruit, cloves and stems): Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,2,,0908.11,"Nutmeg, mace and cardamoms: Nutmeg: Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,,0908.12,"Nutmeg, mace and cardamoms: Nutmeg: Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,2,,0908.21,"Nutmeg, mace and cardamoms: Mace: Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,,0908.22,"Nutmeg, mace and cardamoms: Mace: Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,2,,0908.31,"Nutmeg, mace and cardamoms: Cardamoms: Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,,0908.32,"Nutmeg, mace and cardamoms: Cardamoms: Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,2,,0909.21,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries: Seeds of coriander: Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,,0909.22,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries: Seeds of coriander: Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,2,,0909.31,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries: Seeds of cumin: Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,,0909.32,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries: Seeds of cumin: Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,2,,0909.61,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries: Seeds of anise, badian, caraway or fennel; juniper berries: Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,,0909.62,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries: Seeds of anise, badian, caraway or fennel; juniper berries: Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,3,,09.10,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices."
HS Code/6 digit/0209_2022e.pdf,3,,0910.11,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices: Ginger: Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,3,,0910.12,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices: Ginger: Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,3,,0910.20,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices: Saffron"
HS Code/6 digit/0209_2022e.pdf,3,,0910.30,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices: Turmeric (curcuma)"
HS Code/6 digit/0209_2022e.pdf,3,,0910.91,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices: Other spices: Mixtures referred to in Note 1 (b) to this Chapter"
HS Code/6 digit/0209_2022e.pdf,3,,0910.99,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices: Other spices: Other"
HS Code/6 digit/0210_2022e.pdf,1,,1001.11,Wheat and meslin: Durum wheat: Seed
HS Code/6 digit/0210_2022e.pdf,1,,1001.19,Wheat and meslin: Durum wheat: Other
HS Code/6 digit/0210_2022e.pdf,1,,1001.91,Wheat and meslin: Other: Seed
HS Code/6 digit/0210_2022e.pdf,1,,1001.99,Wheat and meslin: Other: Other
HS Code/6 digit/0210_2022e.pdf,1,,1002.10,Rye: Seed
HS Code/6 digit/0210_2022e.pdf,1,,1002.90,Rye: Other
HS Code/6 digit/0210_2022e.pdf,1,,1003.10,Barley: Seed
HS Code/6 digit/0210_2022e.pdf,1,,1003.90,Barley: Other
HS Code/6 digit/0210_2022e.pdf,1,,1004.10,Oats: Seed
HS Code/6 digit/0210_2022e.pdf,1,,1004.90,Oats: Other
HS Code/6 digit/0210_2022e.pdf,1,,1005.10,Maize (corn): Seed
HS Code/6 digit/0210_2022e.pdf,1,,1005.90,Maize (corn): Other
HS Code/6 digit/0210_2022e.pdf,2,,1006.10,Rice in the husk (paddy or rough)
HS Code/6 digit/0210_2022e.pdf,2,,1006.20,Husked (brown) rice
HS Code/6 digit/0210_2022e.pdf,2,,1006.30,"Semi-milled or wholly milled rice, whether or not polished or glazed"
HS Code/6 digit/0210_2022e.pdf,2,,1006.40,Broken rice
HS Code/6 digit/0210_2022e.pdf,2,,1007.10,Grain sorghum: Seed
HS Code/6 digit/0210_2022e.pdf,2,,1007.90,Grain sorghum: Other
HS Code/6 digit/0210_2022e.pdf,2,,1008.10,"Buckwheat, millet and canary seeds; other cereals: Buckwheat"
HS Code/6 digit/0210_2022e.pdf,2,,1008.21,"Buckwheat, millet and canary seeds; other cereals: Millet: Seed"
HS Code/6 digit/0210_2022e.pdf,2,,1008.29,"Buckwheat, millet and canary seeds; other cereals: Millet: Other"
HS Code/6 digit/0210_2022e.pdf,2,,1008.30,"Buckwheat, millet and canary seeds; other cereals: Canary seeds"
HS Code/6 digit/0210_2022e.pdf,2,,1008.40,"Buckwheat, millet and canary seeds; other cereals: Fonio (Digitaria spp.)"
HS Code/6 digit/0210_2022e.pdf,2,,1008.50,"Buckwheat, millet and canary seeds; other cereals: Quinoa (Chenopodium quinoa)"
HS Code/6 digit/0210_2022e.pdf,2,,1008.60,"Buckwheat, millet and canary seeds; other cereals: Triticale"
HS Code/6 digit/0210_2022e.pdf,2,,1008.90,"Buckwheat, millet and canary seeds; other cereals: Other cereals"
HS Code/6 digit/0211_2022e.pdf,2,,1101.00,Wheat or meslin flour.
HS Code/6 digit/0211_2022e.pdf,2,,1102.20,Cereal flours other than of wheat or meslin: - Maize (corn) flour
HS Code/6 digit/0211_2022e.pdf,2,,1102.90,Cereal flours other than of wheat or meslin: - Other
HS Code/6 digit/0211_2022e.pdf,2,,1103.11,"Cereal groats, meal and pellets: - Groats and meal: -- Of wheat"
HS Code/6 digit/0211_2022e.pdf,2,,1103.13,"Cereal groats, meal and pellets: - Groats and meal: -- Of maize (corn)"
HS Code/6 digit/0211_2022e.pdf,2,,1103.19,"Cereal groats, meal and pellets: - Groats and meal: -- Of other cereals"
HS Code/6 digit/0211_2022e.pdf,2,,1103.20,"Cereal groats, meal and pellets: - Pellets"
HS Code/6 digit/0211_2022e.pdf,2,,1104.12,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground: - Rolled or flaked grains: -- Of oats"
HS Code/6 digit/0211_2022e.pdf,2,,1104.19,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground: - Rolled or flaked grains: -- Of other cereals"
HS Code/6 digit/0211_2022e.pdf,2,,1104.22,"Cereal grains otherwise worked (for example, hulled, pearled, sliced or kibbled): -- Of oats"
HS Code/6 digit/0211_2022e.pdf,2,,1104.23,"Cereal grains otherwise worked (for example, hulled, pearled, sliced or kibbled): -- Of maize (corn)"
HS Code/6 digit/0211_2022e.pdf,2,,1104.29,"Cereal grains otherwise worked (for example, hulled, pearled, sliced or kibbled): -- Of other cereals"
