pdf,page,hs_code,description
HS Code/6 digit/0207_2022e.pdf,2,0709.40,Celery other than celeriac
HS Code/6 digit/0207_2022e.pdf,2,0709.51,Mushrooms and truffles - Mushrooms of the genus Agaricus
HS Code/6 digit/0207_2022e.pdf,2,0709.52,Mushrooms and truffles - Mushrooms of the genus Boletus
HS Code/6 digit/0207_2022e.pdf,2,0709.53,Mushrooms and truffles - Mushrooms of the genus Cantharellus
HS Code/6 digit/0207_2022e.pdf,2,0709.54,Mushrooms and truffles - Shiitake (Lentinus edodes)
HS Code/6 digit/0207_2022e.pdf,2,0709.55,"Mushrooms and truffles - Matsutake (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum)"
HS Code/6 digit/0207_2022e.pdf,2,0709.56,Mushrooms and truffles - Truffles (Tuber spp.)
HS Code/6 digit/0207_2022e.pdf,2,0709.59,Mushrooms and truffles - Other
HS Code/6 digit/0207_2022e.pdf,2,0709.60,Fruits of the genus Capsicum or of the genus Pimenta
HS Code/6 digit/0207_2022e.pdf,2,0709.70,"Spinach, New Zealand spinach and oracle spinach (garden spinach)"
HS Code/6 digit/0207_2022e.pdf,2,0709.91,Other - Globe artichokes
HS Code/6 digit/0207_2022e.pdf,2,0709.92,Other - Olives
HS Code/6 digit/0207_2022e.pdf,2,0709.93,"Other - Pumpkins, squash and gourds (Cucurbita spp.)"
HS Code/6 digit/0207_2022e.pdf,2,0709.99,Other - Other
HS Code/6 digit/0207_2022e.pdf,3,07.10,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen."
HS Code/6 digit/0207_2022e.pdf,3,0710.10,Potatoes
HS Code/6 digit/0207_2022e.pdf,3,0710.21,"Leguminous vegetables, shelled or unshelled - Peas (Pisum sativum)"
HS Code/6 digit/0207_2022e.pdf,3,0710.22,"Leguminous vegetables, shelled or unshelled - Beans (Vigna spp., Phaseolus spp.)"
HS Code/6 digit/0207_2022e.pdf,3,0710.29,"Leguminous vegetables, shelled or unshelled - Other"
HS Code/6 digit/0207_2022e.pdf,3,0710.30,"Spinach, New Zealand spinach and oracle spinach (garden spinach)"
HS Code/6 digit/0207_2022e.pdf,3,0710.40,Sweet corn
HS Code/6 digit/0207_2022e.pdf,3,0710.80,Other vegetables
HS Code/6 digit/0207_2022e.pdf,3,0710.90,Mixtures of vegetables
HS Code/6 digit/0207_2022e.pdf,3,07.11,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption."
HS Code/6 digit/0207_2022e.pdf,3,0711.20,Olives
HS Code/6 digit/0207_2022e.pdf,3,0711.40,Cucumbers and gherkins
HS Code/6 digit/0207_2022e.pdf,3,0711.51,Mushrooms and truffles - Mushrooms of the genus Agaricus
HS Code/6 digit/0207_2022e.pdf,3,0711.59,Mushrooms and truffles - Other
HS Code/6 digit/0207_2022e.pdf,3,0711.90,Other vegetables; mixtures of vegetables
HS Code/6 digit/0207_2022e.pdf,3,07.12,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared."
HS Code/6 digit/0207_2022e.pdf,3,0712.20,Onions
HS Code/6 digit/0207_2022e.pdf,3,0712.31,"Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles - Mushrooms of the genus Agaricus"
HS Code/6 digit/0207_2022e.pdf,3,0712.32,"Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles - Wood ears (Auricularia spp.)"
HS Code/6 digit/0207_2022e.pdf,3,0712.33,"Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles - Jelly fungi (Tremella spp.)"
HS Code/6 digit/0207_2022e.pdf,3,0712.34,"Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles - Shiitake (Lentinus edodes)"
HS Code/6 digit/0207_2022e.pdf,3,0712.39,"Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles - Other"
HS Code/6 digit/0207_2022e.pdf,3,0712.90,Other vegetables; mixtures of vegetables
HS Code/6 digit/0207_2022e.pdf,3,07.13,"Dried leguminous vegetables, shelled, whether or not skinned or split."
HS Code/6 digit/0207_2022e.pdf,3,0713.10,Peas (Pisum sativum)
HS Code/6 digit/0207_2022e.pdf,3,0713.20,Chickpeas (garbanzos)
HS Code/6 digit/0207_2022e.pdf,3,0713.31,"Beans (Vigna spp., Phaseolus spp.) - Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek"
HS Code/6 digit/0207_2022e.pdf,3,0713.32,"Beans (Vigna spp., Phaseolus spp.) - Small red (Adzuki) beans (Phaseolus or Vigna angularis)"
HS Code/6 digit/0207_2022e.pdf,4,0713.33,"Kidney beans, including white pea beans (Phaseolus vulgaris)"
HS Code/6 digit/0207_2022e.pdf,4,0713.34,Bambara beans (Vigna subterranea or Voandzeia subterranea)
HS Code/6 digit/0207_2022e.pdf,4,0713.35,Cow peas (Vigna unguiculata)
HS Code/6 digit/0207_2022e.pdf,4,0713.39,Other
HS Code/6 digit/0207_2022e.pdf,4,0713.40,Lentils
HS Code/6 digit/0207_2022e.pdf,4,0713.50,"Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina, Vicia faba var. minor)"
HS Code/6 digit/0207_2022e.pdf,4,0713.60,Pigeon peas (Cajanus cajan)
HS Code/6 digit/0207_2022e.pdf,4,0713.90,Other
HS Code/6 digit/0207_2022e.pdf,4,07.14,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith."
HS Code/6 digit/0207_2022e.pdf,4,0714.10,Manioc (cassava)
HS Code/6 digit/0207_2022e.pdf,4,0714.20,Sweet potatoes
HS Code/6 digit/0207_2022e.pdf,4,0714.30,Yams (Dioscorea spp.)
HS Code/6 digit/0207_2022e.pdf,4,0714.40,Taro (Colocasia spp.)
HS Code/6 digit/0207_2022e.pdf,4,0714.50,Yautia (Xanthosoma spp.)
HS Code/6 digit/0207_2022e.pdf,4,0714.90,Other
HS Code/6 digit/0208_2022e.pdf,1,08.01,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled."
HS Code/6 digit/0208_2022e.pdf,1,0801.11,Coconuts - Desiccated
HS Code/6 digit/0208_2022e.pdf,1,0801.12,Coconuts - In the inner shell (endocarp)
HS Code/6 digit/0208_2022e.pdf,1,0801.19,Coconuts - Other
HS Code/6 digit/0208_2022e.pdf,1,0801.21,Brazil nuts - In shell
HS Code/6 digit/0208_2022e.pdf,1,0801.22,Brazil nuts - Shelled
HS Code/6 digit/0208_2022e.pdf,1,0801.31,Cashew nuts - In shell
HS Code/6 digit/0208_2022e.pdf,1,0801.32,Cashew nuts - Shelled
HS Code/6 digit/0208_2022e.pdf,1,08.02,"Other nuts, fresh or dried, whether or not shelled or peeled."
HS Code/6 digit/0208_2022e.pdf,1,0802.11,Almonds - In shell
HS Code/6 digit/0208_2022e.pdf,1,0802.12,Almonds - Shelled
HS Code/6 digit/0208_2022e.pdf,1,0802.21,Hazelnuts or filberts (Corylus spp.) - In shell
HS Code/6 digit/0208_2022e.pdf,1,0802.22,Hazelnuts or filberts (Corylus spp.) - Shelled
HS Code/6 digit/0208_2022e.pdf,1,0802.31,Walnuts - In shell
HS Code/6 digit/0208_2022e.pdf,1,0802.32,Walnuts - Shelled
HS Code/6 digit/0208_2022e.pdf,2,0802.41,Chestnuts (Castanea spp.) - In shell
HS Code/6 digit/0208_2022e.pdf,2,0802.42,Chestnuts (Castanea spp.) - Shelled
HS Code/6 digit/0208_2022e.pdf,2,0802.51,Pistachios - In shell
HS Code/6 digit/0208_2022e.pdf,2,0802.52,Pistachios - Shelled
HS Code/6 digit/0208_2022e.pdf,2,0802.61,Macadamia nuts - In shell
HS Code/6 digit/0208_2022e.pdf,2,0802.62,Macadamia nuts - Shelled
HS Code/6 digit/0208_2022e.pdf,2,0802.70,Kola nuts (Cola spp.)
HS Code/6 digit/0208_2022e.pdf,2,0802.80,Areca nuts
HS Code/6 digit/0208_2022e.pdf,2,0802.91,"Other - Pine nuts, in shell"
HS Code/6 digit/0208_2022e.pdf,2,0802.92,"Other - Pine nuts, shelled"
HS Code/6 digit/0208_2022e.pdf,2,0802.99,Other - Other
HS Code/6 digit/0208_2022e.pdf,2,08.03,"Bananas, including plantains, fresh or dried."
HS Code/6 digit/0208_2022e.pdf,2,0803.10,Plantains
HS Code/6 digit/0208_2022e.pdf,2,0803.90,Other
HS Code/6 digit/0208_2022e.pdf,2,08.04,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried."
HS Code/6 digit/0208_2022e.pdf,2,0804.10,Dates
HS Code/6 digit/0208_2022e.pdf,2,0804.20,Figs
HS Code/6 digit/0208_2022e.pdf,2,0804.30,Pineapples
HS Code/6 digit/0208_2022e.pdf,2,0804.40,Avocados
HS Code/6 digit/0208_2022e.pdf,2,0804.50,"Guavas, mangoes and mangosteens"
HS Code/6 digit/0208_2022e.pdf,2,08.05,"Citrus fruit, fresh or dried."
HS Code/6 digit/0208_2022e.pdf,2,0805.10,Oranges
HS Code/6 digit/0208_2022e.pdf,2,0805.21,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids - Mandarins (including tangerines and satsumas)"
HS Code/6 digit/0208_2022e.pdf,2,0805.22,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids - Clementines"
HS Code/6 digit/0208_2022e.pdf,2,0805.29,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids - Other"
HS Code/6 digit/0208_2022e.pdf,2,0805.40,Grapefruit and pomelos
HS Code/6 digit/0208_2022e.pdf,2,0805.50,"Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)"
HS Code/6 digit/0208_2022e.pdf,2,0805.90,Other
HS Code/6 digit/0208_2022e.pdf,3,08.06,"Grapes, fresh or dried."
HS Code/6 digit/0208_2022e.pdf,3,0806.10,Fresh
HS Code/6 digit/0208_2022e.pdf,3,0806.20,Dried
HS Code/6 digit/0208_2022e.pdf,3,08.07,"Melons (including watermelons) and papaws (papayas), fresh."
HS Code/6 digit/0208_2022e.pdf,3,0807.11,Melons (including watermelons) - Watermelons
HS Code/6 digit/0208_2022e.pdf,3,0807.19,Melons (including watermelons) - Other
HS Code/6 digit/0208_2022e.pdf,3,0807.20,Papaws (papayas)
HS Code/6 digit/0208_2022e.pdf,3,08.08,"Apples, pears and quinces, fresh."
HS Code/6 digit/0208_2022e.pdf,3,0808.10,Apples
HS Code/6 digit/0208_2022e.pdf,3,0808.30,Pears
HS Code/6 digit/0208_2022e.pdf,3,0808.40,Quinces
HS Code/6 digit/0208_2022e.pdf,3,08.09,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh."
HS Code/6 digit/0208_2022e.pdf,3,0809.10,Apricots
HS Code/6 digit/0208_2022e.pdf,3,0809.21,Cherries - Sour cherries (Prunus cerasus)
HS Code/6 digit/0208_2022e.pdf,3,0809.29,Cherries - Other
HS Code/6 digit/0208_2022e.pdf,3,0809.30,"Peaches, including nectarines"
HS Code/6 digit/0208_2022e.pdf,3,0809.40,Plums and sloes
HS Code/6 digit/0208_2022e.pdf,3,08.10,"Other fruit, fresh."
HS Code/6 digit/0208_2022e.pdf,3,0810.10,Strawberries
HS Code/6 digit/0208_2022e.pdf,3,0810.20,"Raspberries, blackberries, mulberries and loganberries"
HS Code/6 digit/0208_2022e.pdf,3,0810.30,"Black, white or red currants and gooseberries"
HS Code/6 digit/0208_2022e.pdf,3,0810.40,"Cranberries, bilberries and other fruits of the genus Vaccinium"
HS Code/6 digit/0208_2022e.pdf,3,0810.50,Kiwifruit
HS Code/6 digit/0208_2022e.pdf,3,0810.60,Durians
HS Code/6 digit/0208_2022e.pdf,3,0810.70,Persimmons
HS Code/6 digit/0208_2022e.pdf,3,0810.90,Other
HS Code/6 digit/0208_2022e.pdf,3,08.11,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter."
HS Code/6 digit/0208_2022e.pdf,3,0811.10,Strawberries
HS Code/6 digit/0208_2022e.pdf,3,0811.20,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries"
HS Code/6 digit/0208_2022e.pdf,3,0811.90,Other
HS Code/6 digit/0208_2022e.pdf,4,08.12,"Fruit and nuts provisionally preserved, but unsuitable in that state for immediate consumption."
HS Code/6 digit/0208_2022e.pdf,4,0812.10,
HS Code/6 digit/0208_2022e.pdf,4,0812.90,
HS Code/6 digit/0208_2022e.pdf,4,08.13,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter."
HS Code/6 digit/0208_2022e.pdf,4,0813.10,
HS Code/6 digit/0208_2022e.pdf,4,0813.20,
HS Code/6 digit/0208_2022e.pdf,4,0813.30,
HS Code/6 digit/0208_2022e.pdf,4,0813.40,
HS Code/6 digit/0208_2022e.pdf,4,0813.50,
HS Code/6 digit/0208_2022e.pdf,4,08.14,
HS Code/6 digit/0208_2022e.pdf,4,0814.00,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions."
HS Code/6 digit/0209_2022e.pdf,1,09.01,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion."
HS Code/6 digit/0209_2022e.pdf,1,0901.11,"Coffee, not roasted - Not decaffeinated"
HS Code/6 digit/0209_2022e.pdf,1,0901.12,"Coffee, not roasted - Decaffeinated"
HS Code/6 digit/0209_2022e.pdf,1,0901.21,Coffee roasted - Not decaffeinated
HS Code/6 digit/0209_2022e.pdf,1,0901.22,Coffee roasted - Decaffeinated
HS Code/6 digit/0209_2022e.pdf,1,0901.90,Other
HS Code/6 digit/0209_2022e.pdf,1,09.02,"Tea, whether or not flavoured."
HS Code/6 digit/0209_2022e.pdf,1,0902.10,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg
HS Code/6 digit/0209_2022e.pdf,1,0902.20,Other green tea (not fermented)
HS Code/6 digit/0209_2022e.pdf,1,0902.30,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
HS Code/6 digit/0209_2022e.pdf,1,0902.40,Other black tea (fermented) and other partly fermented tea
HS Code/6 digit/0209_2022e.pdf,1,09.03,0903.00 Maté.
HS Code/6 digit/0209_2022e.pdf,1,09.04,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.
HS Code/6 digit/0209_2022e.pdf,1,0904.11,Pepper - Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,1,0904.12,Pepper - Crushed or ground
HS Code/6 digit/0209_2022e.pdf,1,0904.21,"Fruits of the genus Capsicum or of the genus Pimenta - Dried, neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,1,0904.22,Fruits of the genus Capsicum or of the genus Pimenta - Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,09.05,Vanilla.
HS Code/6 digit/0209_2022e.pdf,2,0905.10,Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,0905.20,Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,09.06,Cinnamon and cinnamon-tree flowers.
HS Code/6 digit/0209_2022e.pdf,2,0906.11,Neither crushed nor ground - Cinnamon (Cinnamomum zeylanicum Blume)
HS Code/6 digit/0209_2022e.pdf,2,0906.19,Neither crushed nor ground - Other
HS Code/6 digit/0209_2022e.pdf,2,0906.20,Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,09.07,"Cloves (whole fruit, cloves and stems)."
HS Code/6 digit/0209_2022e.pdf,2,0907.10,Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,0907.20,Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,09.08,"Nutmeg, mace and cardamoms."
HS Code/6 digit/0209_2022e.pdf,2,0908.11,Nutmeg - Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,0908.12,Nutmeg - Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,0908.21,Mace - Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,0908.22,Mace - Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,0908.31,Cardamoms - Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,0908.32,Cardamoms - Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,09.09,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries."
HS Code/6 digit/0209_2022e.pdf,2,0909.21,Seeds of coriander - Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,0909.22,Seeds of coriander - Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,0909.31,Seeds of cumin - Neither crushed nor ground
HS Code/6 digit/0209_2022e.pdf,2,0909.32,Seeds of cumin - Crushed or ground
HS Code/6 digit/0209_2022e.pdf,2,0909.61,"Seeds of anise, badian, caraway or fennel; juniper berries - Neither crushed nor ground"
HS Code/6 digit/0209_2022e.pdf,2,0909.62,"Seeds of anise, badian, caraway or fennel; juniper berries - Crushed or ground"
HS Code/6 digit/0209_2022e.pdf,3,09.10,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices."
HS Code/6 digit/0209_2022e.pdf,3,0910.11,
HS Code/6 digit/0209_2022e.pdf,3,0910.12,
HS Code/6 digit/0209_2022e.pdf,3,0910.20,
HS Code/6 digit/0209_2022e.pdf,3,0910.30,
HS Code/6 digit/0209_2022e.pdf,3,0910.91,
HS Code/6 digit/0209_2022e.pdf,3,0910.99,
HS Code/6 digit/0210_2022e.pdf,1,10.01,Wheat and meslin.
HS Code/6 digit/0210_2022e.pdf,1,1001.11,
HS Code/6 digit/0210_2022e.pdf,1,1001.19,
HS Code/6 digit/0210_2022e.pdf,1,1001.91,
HS Code/6 digit/0210_2022e.pdf,1,1001.99,
HS Code/6 digit/0210_2022e.pdf,1,10.02,Rye.
HS Code/6 digit/0210_2022e.pdf,1,1002.10,
HS Code/6 digit/0210_2022e.pdf,1,1002.90,
HS Code/6 digit/0210_2022e.pdf,1,10.03,Barley.
HS Code/6 digit/0210_2022e.pdf,1,1003.10,
HS Code/6 digit/0210_2022e.pdf,1,1003.90,
HS Code/6 digit/0210_2022e.pdf,1,10.04,Oats.
HS Code/6 digit/0210_2022e.pdf,1,1004.10,
HS Code/6 digit/0210_2022e.pdf,1,1004.90,
HS Code/6 digit/0210_2022e.pdf,1,10.05,Maize (corn).
HS Code/6 digit/0210_2022e.pdf,1,1005.10,
HS Code/6 digit/0210_2022e.pdf,1,1005.90,
HS Code/6 digit/0210_2022e.pdf,2,10.06,Rice.
HS Code/6 digit/0210_2022e.pdf,2,1006.10,
HS Code/6 digit/0210_2022e.pdf,2,1006.20,
HS Code/6 digit/0210_2022e.pdf,2,1006.30,
HS Code/6 digit/0210_2022e.pdf,2,1006.40,
HS Code/6 digit/0210_2022e.pdf,2,10.07,Grain sorghum.
HS Code/6 digit/0210_2022e.pdf,2,1007.10,
HS Code/6 digit/0210_2022e.pdf,2,1007.90,
HS Code/6 digit/0210_2022e.pdf,2,10.08,"Buckwheat, millet and canary seeds; other cereals."
HS Code/6 digit/0210_2022e.pdf,2,1008.10,
HS Code/6 digit/0210_2022e.pdf,2,1008.21,
HS Code/6 digit/0210_2022e.pdf,2,1008.29,
HS Code/6 digit/0210_2022e.pdf,2,1008.30,
HS Code/6 digit/0210_2022e.pdf,2,1008.40,
HS Code/6 digit/0210_2022e.pdf,2,1008.50,
HS Code/6 digit/0210_2022e.pdf,2,1008.60,
HS Code/6 digit/0210_2022e.pdf,2,1008.90,
HS Code/6 digit/0211_2022e.pdf,1,3154,500 micrometres (microns) (5)
HS Code/6 digit/0211_2022e.pdf,2,11.01,1101.00 Wheat or meslin flour.
HS Code/6 digit/0211_2022e.pdf,2,11.02,Cereal flours other than of wheat or meslin.
HS Code/6 digit/0211_2022e.pdf,2,1102.20,Maize (corn) flour
HS Code/6 digit/0211_2022e.pdf,2,1102.90,Other
HS Code/6 digit/0211_2022e.pdf,2,11.03,"Cereal groats, meal and pellets."
HS Code/6 digit/0211_2022e.pdf,2,1103.11,Groats and meal - Of wheat
HS Code/6 digit/0211_2022e.pdf,2,1103.13,Groats and meal - Of maize (corn)
HS Code/6 digit/0211_2022e.pdf,2,1103.19,Groats and meal - Of other cereals
HS Code/6 digit/0211_2022e.pdf,2,1103.20,Pellets
HS Code/6 digit/0211_2022e.pdf,2,11.04,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground."
HS Code/6 digit/0211_2022e.pdf,2,1104.12,Rolled or flaked grains - Of oats
HS Code/6 digit/0211_2022e.pdf,2,1104.19,Rolled or flaked grains - Of other cereals
HS Code/6 digit/0211_2022e.pdf,2,1104.22,"Other worked grains (for example, hulled, pearled, sliced or kibbled) - Of oats"
HS Code/6 digit/0211_2022e.pdf,2,1104.23,"Other worked grains (for example, hulled, pearled, sliced or kibbled) - Of maize (corn)"
HS Code/6 digit/0211_2022e.pdf,2,1104.29,"Other worked grains (for example, hulled, pearled, sliced or kibbled) - Of other cereals"
HS Code/6 digit/0211_2022e.pdf,2,1104.30,"Germ of cereals, whole, rolled, flaked or ground"
HS Code/6 digit/0211_2022e.pdf,2,11.05,"Flour, meal, powder, flakes, granules and pellets of potatoes."
HS Code/6 digit/0211_2022e.pdf,2,1105.10,"Flour, meal and powder"
HS Code/6 digit/0211_2022e.pdf,2,1105.20,"Flakes, granules and pellets"
HS Code/6 digit/0211_2022e.pdf,2,11.06,"Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8."
HS Code/6 digit/0211_2022e.pdf,2,1106.10,Of the dried leguminous vegetables of heading 07.13
HS Code/6 digit/0211_2022e.pdf,2,1106.20,Of sago or of roots or tubers of heading 07.14
HS Code/6 digit/0211_2022e.pdf,2,1106.30,Of the products of Chapter 8
HS Code/6 digit/0211_2022e.pdf,3,11.07,"Malt, whether or not roasted."
HS Code/6 digit/0211_2022e.pdf,3,1107.10,Not roasted
HS Code/6 digit/0211_2022e.pdf,3,1107.20,Roasted
HS Code/6 digit/0211_2022e.pdf,3,11.08,Starches; inulin.
HS Code/6 digit/0211_2022e.pdf,3,1108.11,Starches - Wheat starch
HS Code/6 digit/0211_2022e.pdf,3,1108.12,Starches - Maize (corn) starch
HS Code/6 digit/0211_2022e.pdf,3,1108.13,Starches - Potato starch
HS Code/6 digit/0211_2022e.pdf,3,1108.14,Starches - Manioc (cassava) starch
HS Code/6 digit/0211_2022e.pdf,3,1108.19,Starches - Other starches
HS Code/6 digit/0211_2022e.pdf,3,1108.20,Inulin
HS Code/6 digit/0211_2022e.pdf,3,11.09,"1109.00 Wheat gluten, whether or not dried."
HS Code/6 digit/0212_2022e.pdf,2,12.01,"Soya beans, whether or not broken."
HS Code/6 digit/0212_2022e.pdf,2,1201.10,Seed
HS Code/6 digit/0212_2022e.pdf,2,1201.90,Other
HS Code/6 digit/0212_2022e.pdf,2,12.02,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken."
HS Code/6 digit/0212_2022e.pdf,2,1202.30,Seed
HS Code/6 digit/0212_2022e.pdf,2,1202.41,Other - In shell
HS Code/6 digit/0212_2022e.pdf,2,1202.42,"Other - Shelled, whether or not broken"
HS Code/6 digit/0212_2022e.pdf,2,12.03,1203.00 Copra.
HS Code/6 digit/0212_2022e.pdf,2,12.04,"1204.00 Linseed, whether or not broken."
HS Code/6 digit/0212_2022e.pdf,2,12.05,"Rape or colza seeds, whether or not broken."
HS Code/6 digit/0212_2022e.pdf,2,1205.10,Low erucic acid rape or colza seeds
HS Code/6 digit/0212_2022e.pdf,2,1205.90,Other
HS Code/6 digit/0212_2022e.pdf,2,12.06,"1206.00 Sunflower seeds, whether or not broken."
HS Code/6 digit/0212_2022e.pdf,2,12.07,"Other oil seeds and oleaginous fruits, whether or not broken."
HS Code/6 digit/0212_2022e.pdf,2,1207.10,Palm nuts and kernels
HS Code/6 digit/0212_2022e.pdf,2,1207.21,Cotton seeds - Seed
HS Code/6 digit/0212_2022e.pdf,2,1207.29,Cotton seeds - Other
HS Code/6 digit/0212_2022e.pdf,2,1207.30,Castor oil seeds
HS Code/6 digit/0212_2022e.pdf,2,1207.40,Sesamum seeds
HS Code/6 digit/0212_2022e.pdf,2,1207.50,Mustard seeds
HS Code/6 digit/0212_2022e.pdf,2,1207.60,Safflower (Carthamus tinctorius) seeds
HS Code/6 digit/0212_2022e.pdf,2,1207.70,Melon seeds
HS Code/6 digit/0212_2022e.pdf,2,1207.91,Other - Poppy seeds
HS Code/6 digit/0212_2022e.pdf,2,1207.99,Other - Other
HS Code/6 digit/0212_2022e.pdf,2,12.08,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard."
HS Code/6 digit/0212_2022e.pdf,2,1208.10,Of soya beans
HS Code/6 digit/0212_2022e.pdf,2,1208.90,Other
HS Code/6 digit/0212_2022e.pdf,3,12.09,"Seeds, fruit and spores, of a kind used for sowing."
